X, Y, Z, Time
x:1.487001,y:-0.2029999,z:1.386,time:1.067181
x:1.487001,y:-0.2029999,z:1.386,time:1.067181
x:1.487001,y:-0.2029999,z:1.386,time:1.069472
x:1.487001,y:-0.2029999,z:1.386,time:1.069472
x:1.487001,y:-0.2029999,z:1.386,time:1.071953
x:1.487001,y:-0.2029999,z:1.386,time:1.071953
x:1.487001,y:-0.2029999,z:1.386,time:1.074383
x:1.487001,y:-0.2029999,z:1.386,time:1.074383
x:1.487001,y:-0.2029999,z:1.386,time:1.076773
x:1.487001,y:-0.2029999,z:1.386,time:1.076773
x:1.487001,y:-0.2029999,z:1.386,time:1.079073
x:1.487001,y:-0.2029999,z:1.386,time:1.079073
x:1.487001,y:-0.2029999,z:1.386,time:1.081419
x:1.487001,y:-0.2029999,z:1.386,time:1.081419
x:1.487001,y:-0.2029999,z:1.386,time:1.083888
x:1.487001,y:-0.2029999,z:1.386,time:1.083888
x:1.487001,y:-0.2029999,z:1.386,time:1.086273
x:1.487001,y:-0.2029999,z:1.386,time:1.086273
x:1.487001,y:-0.2029999,z:1.386,time:1.088647
x:1.487001,y:-0.2029999,z:1.386,time:1.088647
x:1.487001,y:-0.2029999,z:1.386,time:1.091091
x:1.487001,y:-0.2029999,z:1.386,time:1.091091
x:1.487001,y:-0.2029999,z:1.386,time:1.09345
x:1.487001,y:-0.2029999,z:1.386,time:1.09345
x:1.487001,y:-0.2029999,z:1.386,time:1.09576
x:1.487001,y:-0.2029999,z:1.386,time:1.09576
x:1.487001,y:-0.2029999,z:1.386,time:1.097981
x:1.487001,y:-0.2029999,z:1.386,time:1.097981
x:1.487001,y:-0.2029999,z:1.386,time:1.100229
x:1.487001,y:-0.2029999,z:1.386,time:1.100229
x:1.487001,y:-0.2029999,z:1.386,time:1.102685
x:1.487001,y:-0.2029999,z:1.386,time:1.102685
x:1.487001,y:-0.2029999,z:1.386,time:1.105275
x:1.487001,y:-0.2029999,z:1.386,time:1.105275
x:1.487001,y:-0.2029999,z:1.386,time:1.107698
x:1.487001,y:-0.2029999,z:1.386,time:1.107698
x:1.487001,y:-0.2029999,z:1.386,time:1.109953
x:1.487001,y:-0.2029999,z:1.386,time:1.109953
x:1.487001,y:-0.2029999,z:1.386,time:1.112202
x:1.487001,y:-0.2029999,z:1.386,time:1.112202
x:1.487001,y:-0.2029999,z:1.386,time:1.114573
x:1.487001,y:-0.2029999,z:1.386,time:1.114573
x:1.487001,y:-0.2029999,z:1.386,time:1.116838
x:1.487001,y:-0.2029999,z:1.386,time:1.116838
x:1.487001,y:-0.2029999,z:1.386,time:1.11916
x:1.487001,y:-0.2029999,z:1.386,time:1.11916
x:1.487001,y:-0.2029999,z:1.386,time:1.121628
x:1.487001,y:-0.2029999,z:1.386,time:1.121628
x:1.487001,y:-0.2029999,z:1.386,time:1.124194
x:1.487001,y:-0.2029999,z:1.386,time:1.124194
x:1.487001,y:-0.2029999,z:1.386,time:1.126486
x:1.487001,y:-0.2029999,z:1.386,time:1.126486
x:1.487001,y:-0.2029999,z:1.386,time:1.171239
x:1.487001,y:-0.2029999,z:1.386,time:1.171239
x:1.487001,y:-0.2029999,z:1.386,time:1.174821
x:1.487001,y:-0.2029999,z:1.386,time:1.174821
